#ai table:
#i	c[i]	a[i]	C[i]	b[i]
1	20.9675	0.915339	21.9887	0.799342
2	41.9349	0.0607105	43.9774	0.105025
3	62.9024	0.0117863	65.9662	0.0293503
4	83.8699	0.00444268	87.9549	0.0155348
5	104.837	0.00154009	109.944	0.00409087
6	125.805	0.00451054	131.932	0.0466574
#depth	real_P(x)	real_F(x)	est_P(x)	est_F(x)
1	1.58085e-07	6.54959e-09	1.50419e-08	4.96333e-09
2	5.33537e-07	4.42097e-08	1.57633e-07	5.45286e-08
3	1.59073e-06	1.97716e-07	1.10163e-06	3.99611e-07
4	8.28958e-06	1.37378e-06	5.77445e-06	2.19664e-06
5	3.14984e-05	6.52503e-06	2.42149e-05	9.66009e-06
6	0.000102222	2.54108e-05	8.46204e-05	3.54019e-05
7	0.000299176	8.67657e-05	0.000253468	0.000111206
8	0.000782995	0.000259521	0.000664321	0.000305658
9	0.00178528	0.000665692	0.00154768	0.000746781
10	0.00364236	0.00150906	0.00324509	0.00164208
11	0.00677869	0.00308931	0.00618558	0.00328247
12	0.0116204	0.0057773	0.010808	0.00601478
13	0.0183176	0.00986585	0.0174321	0.0101737
14	0.0269214	0.0156153	0.0261077	0.015979
15	0.0371294	0.0230745	0.0364943	0.023424
16	0.0480229	0.031834	0.0478249	0.0321917
17	0.0585401	0.0412312	0.0589871	0.041639
18	0.067676	0.0504697	0.068713	0.050867
19	0.0741762	0.0583904	0.0758309	0.0588703
20	0.0775377	0.064249	0.0795038	0.0647275
21	0.0774256	0.0673639	0.0793886	0.067781
22	0.0740053	0.0674542	0.0756762	0.0677566
23	0.0676936	0.0645058	0.0690108	0.064795
24	0.0596138	0.0592764	0.0603262	0.0593937
25	0.0504527	0.0522574	0.0506502	0.0522855
26	0.0412656	0.0444514	0.0409288	0.0442901
27	0.0325922	0.0364587	0.0319053	0.0361776
28	0.0249678	0.0289642	0.0240652	0.0285703
29	0.0186777	0.0224411	0.0176413	0.0218931
30	0.0136385	0.0169517	0.0126586	0.0163707
31	0.00988846	0.0127003	0.00899805	0.012057
32	0.00721296	0.00956284	0.00645989	0.00888186
33	0.00542482	0.00741691	0.00481601	0.00669982
